a1	a2	a1_BL_ID	a2_BL_ID	totalCollabs	collaborated	distance	duration	a1_LAT	a1_LON	a2_LAT	a2_LON
11559	52720	7508	7516	1	1	1110	883	36.0033368637	-78.9359146357	36.0071644054	-78.9407479763
11559	66100	7508	7516	24	1	1110	883	36.0033368637	-78.9359146357	36.0071644054	-78.9407479763
11559	95635	7508	7516	2	1	1110	883	36.0033368637	-78.9359146357	36.0071644054	-78.9407479763
11559	97477	7508	7579	1	1	983	797	36.0033368637	-78.9359146357	36.0051595258	-78.9391493797
11559	114477	7508	7516	3	1	1110	883	36.0033368637	-78.9359146357	36.0071644054	-78.9407479763
11559	117604	7508	7516	2	1	1110	883	36.0033368637	-78.9359146357	36.0071644054	-78.9407479763
11559	119648	7508	8141	4	1	1016	758	36.0033368637	-78.9359146357	36.009518555	-78.9416009188
11559	211383	7508	7516	4	1	1110	883	36.0033368637	-78.9359146357	36.0071644054	-78.9407479763
11559	403859	7508	8141	1	1	1016	758	36.0033368637	-78.9359146357	36.009518555	-78.9416009188
11672	298315	7549	8141	2	1	440	317	36.0066783787	-78.9403939247	36.009518555	-78.9416009188
12056	325876	7516	7735	1	1	417	317	36.0071644054	-78.9407479763	36.0032934665	-78.9397501945
12491	39826	7548	7516	3	1	914	697	36.0074638311	-78.9365369081	36.0071644054	-78.9407479763
12491	55100	7548	7507	1	1	709	543	36.0074638311	-78.9365369081	36.0030634608	-78.9369499683
12491	59803	7548	7516	1	1	914	697	36.0074638311	-78.9365369081	36.0071644054	-78.9407479763
12491	112330	7548	7507	5	1	709	543	36.0074638311	-78.9365369081	36.0030634608	-78.9369499683
12491	332347	7548	7576	2	1	914	697	36.0074638311	-78.9365369081	36.0066631903	-78.9396455884
12491	507759	7548	7507	1	1	709	543	36.0074638311	-78.9365369081	36.0030634608	-78.9369499683
12593	14165	7776	7548	2	1	1009	743	36.0044651833	-78.9419603348	36.0074638311	-78.9365369081
12593	30575	7776	8141	4	1	535	381	36.0044651833	-78.9419603348	36.009518555	-78.9416009188
12593	39826	7776	7516	1	1	94	63	36.0044651833	-78.9419603348	36.0071644054	-78.9407479763
12593	54240	7776	7508	2	1	1016	819	36.0044651833	-78.9419603348	36.0033368637	-78.9359146357
12593	55370	7776	7508	6	1	1016	819	36.0044651833	-78.9419603348	36.0033368637	-78.9359146357
12593	58484	7776	7508	2	1	1016	819	36.0044651833	-78.9419603348	36.0033368637	-78.9359146357
12593	66100	7776	7516	1	1	94	63	36.0044651833	-78.9419603348	36.0071644054	-78.9407479763
12593	72590	7776	7508	1	1	1016	819	36.0044651833	-78.9419603348	36.0033368637	-78.9359146357
12593	76565	7776	7507	1	1	1016	758	36.0044651833	-78.9419603348	36.0030634608	-78.9369499683
12593	78469	7776	7508	10	1	1016	819	36.0044651833	-78.9419603348	36.0033368637	-78.9359146357
12593	78823	7776	7508	4	1	1016	819	36.0044651833	-78.9419603348	36.0033368637	-78.9359146357
12593	86496	7776	7508	1	1	1016	819	36.0044651833	-78.9419603348	36.0033368637	-78.9359146357
12593	96409	7776	7508	4	1	1016	819	36.0044651833	-78.9419603348	36.0033368637	-78.9359146357
12593	96546	7776	7508	1	1	1016	819	36.0044651833	-78.9419603348	36.0033368637	-78.9359146357
12593	99352	7776	7508	1	1	1016	819	36.0044651833	-78.9419603348	36.0033368637	-78.9359146357
12593	104054	7776	7513	1	1	10	10	36.0044651833	-78.9419603348	36.005697637	-78.9398145676
12593	111388	7776	7508	40	1	1016	819	36.0044651833	-78.9419603348	36.0033368637	-78.9359146357
12593	113385	7776	7508	6	1	1016	819	36.0044651833	-78.9419603348	36.0033368637	-78.9359146357
12593	114887	7776	7508	1	1	1016	819	36.0044651833	-78.9419603348	36.0033368637	-78.9359146357
12593	116133	7776	7508	1	1	1016	819	36.0044651833	-78.9419603348	36.0033368637	-78.9359146357
12593	116562	7776	7516	1	1	94	63	36.0044651833	-78.9419603348	36.0071644054	-78.9407479763
12593	117593	7776	7508	1	1	1016	819	36.0044651833	-78.9419603348	36.0033368637	-78.9359146357
12593	203880	7776	8141	4	1	535	381	36.0044651833	-78.9419603348	36.009518555	-78.9416009188
12593	232190	7776	7508	6	1	1016	819	36.0044651833	-78.9419603348	36.0033368637	-78.9359146357
12593	265270	7776	7508	4	1	1016	819	36.0044651833	-78.9419603348	36.0033368637	-78.9359146357
12593	278341	7776	7508	13	1	1016	819	36.0044651833	-78.9419603348	36.0033368637	-78.9359146357
12593	288387	7776	7508	32	1	1016	819	36.0044651833	-78.9419603348	36.0033368637	-78.9359146357
12593	288418	7776	7508	7	1	1016	819	36.0044651833	-78.9419603348	36.0033368637	-78.9359146357
12593	291213	7776	7508	2	1	1016	819	36.0044651833	-78.9419603348	36.0033368637	-78.9359146357
12593	297832	7776	7508	2	1	1016	819	36.0044651833	-78.9419603348	36.0033368637	-78.9359146357
12593	304011	7776	7508	1	1	1016	819	36.0044651833	-78.9419603348	36.0033368637	-78.9359146357
12593	304031	7776	7548	1	1	1009	743	36.0044651833	-78.9419603348	36.0074638311	-78.9365369081
